Serial number,Urdu word,Roman Urdu Words,English meaning of the word
2555,سوائے,sway'ye,except
2556,مساجد,masaajid,mosques
2557,کثرت,kasrat,"abundance, plurality, plethora"
2558,کوششیں,kwshshin,Efforts
2559,ہار,haar,"loss, defeat, cultivated land surrounding village, cultivated tract, plot or allotment of ground, field, pasturage, necklace, string of flowers worn round the neck, garland, amulet, forming nouns and adjectives, denoting performer of an action"
2560,ارباب,arbaab,"lords, possessors, supporters"
2561,تفصیلی,tafsiilii,detailed
2562,تھوڑی,tho.Dii,"little, scanty, few, meager, slight"
2563,راقم,raaqim,"scribe, writer, correspondent"
2564,سڑکوں,sa.Dko.n par aanaa,Protest
2565,سہی,sahii,"let it be, very well, often added to participle"
2566,فتنہ,fitna,"evil, mischief, sin, crime"
2567,مارنے,maarne,beat
2568,مانند,maanind,"like, resembling, after the likeness"
2569,وصیت,vasiyyat,"will, testament, legacy, bequest"
2570,پردے,parde,"privacy, veil, screen, ear-drum"
2571,پیدائش,paidāiś,"origin, birth; genesis, creation"
2572,چاروں,chaaro.n,"four, all the four"
2573,یمن,yaman,a heptatonic Indian classical raga of Kalyan Thaat
2574,تقویٰ,taqvaa,"fear of god, piety, abstemiousness, abstinence"
2575,شرم,sharm,"shame, bashfulness, modesty"
2576,شکریہ,shukriya,thanks! thank you!
2577,علاقائی,'laqay'i,regional
2578,عمدہ,'umda,"fine, nice, excellent, capital"
2579,بانی,baanii,founder
2580,تجارت,tijaarat,"the practice of traffic, traffic, trade, commerce, merchandise"
2581,جوش,josh,abundance
2582,رفتار,raftaar,"conduct, manner, behavior"
2583,شرائط,shray't,Conditions
2584,عاصم,'aasim,"protector, guardian, guard"
2585,مباحث,mabaahis,topics of discussion
2586,مختص,muKHtas,"reserved, allocated, appropriated, peculiar, specific"
2587,مطالعے,mutaale',"reading, perusal, look at, scrutiny"
2589,بنتے,bntye,become
2590,بڑھانے,brrhanye,to increase
2591,دستاویزات,dastaavezaat,"documents, papers, bonds, deeds"
2592,ساڑھے,saa.Dhe,fifty/half of a denomination
2593,غائب,ġāib,hidden
2594,المومنین,al-mominiin,"believing women, Muslim women"
2595,بدن,badan,"body, figure, physique, frame"
2596,طبیعت,tabii'at,"nature, temperament, mind, disposition, mood"
2597,مذاق,mazaaq,"joke, humor, fun, pleasantry, game"
2598,ٹوٹ,TuuT,"breaking, breach, fracture"
2600,کارڈ,cardiologist,card
2601,گوئی,gwy'i,goi
2602,بیانیے,bianiye,Narrate
2603,توحید,tauhiid,"declaring God to be one, unitarianism, monotheism, believing in the unity of Allah, oneness of God"
2604,شر,sharr,"evil, vice, wrongdoing, badness"
2605,طارق,taariq,one who comes at nighttime
2606,فاضل,faazil,"excellent, scholar"
2607,فاطمہ,faatima,"a woman who does not breastfeed her kid, a woman who avoid breastfeed after to year to her kid"
2608,فہمی,fahmii,understanding
2609,متحرک,mutaharrik,"movable, transportable, moving, floating, dynamic"
2610,مقالے,maqaale,"thesis, dissertation"
2611,ناصر,naasir,"helper, ally, defender, supporter, assistant"
2612,چھپا,chhupaa,"covered, concealed, hidden, secret"
2613,آرام,ārām,rest
2614,آؤٹ,amaddahw'tt,Out
2615,مریض,mariiz,"a sick person, a patient, sick, ill, diseased, ailing"
2616,تقاضوں,tqadwn,requirements
2618,شاندار,shaandaar,"grand, pompous, stately, dignified, splendid"
2619,قبلہ,qibla,anything opposite
2620,قتال,qitaal,"fight, battle, war, warfare, slaughter, killing, carnage"
2621,ناگزیر,naaguziir,"indispensable, necessary, inevitable, irrefrangible, compulsory, obligatory, foregone, inescapable"
2622,پہنچی,pahu.nchii,"an ornament worn on the wrist, a bracelet"
2623,ابدی,abadii,"eternal, endless"
2624,سزائے,szay'ye,punishment
2625,ناممکن,naamumkin,impossible
2626,پیمانے,pimanye,Scale
2627,اسماعیل,ismaa'iil,"Prophet Ishmael, son of Prophet Abraham"
2628,بھری,bharii,a kind of grass used for thatching
2629,رساں,rasaa.n,"causing to arrive, conveying, bearing"
2630,شپ,shap,"sound of a whip or spear, etc., a whizzing sound"
2631,طیارے,tayyāre,"inflection of طَیَّارہ:, direct plural"
2632,عیسائی,'īsāī,Christian
2633,متوجہ,mutavajjah,"turning to, attentive, paying attention"
2634,نقاب,naqaab,"fem, veil, mask, hood, or covering (for the face)"
2635,راز,raaz,"mystery, secret, confidential, clandestine"
2636,اتوار,itvaar,Sunday
2637,ازاں,azaa.n,"from, thence, therefore"
2638,انگریز,a.ngrez,"Britisher, inhabitant of Britain, Englishman"
2639,انگلی,a.ngulii,finger
2640,آسٹریلیا,āsṭreliyā,"Australia (a country consisting of a main island, the island of Tasmania and other smaller islands, located in Oceania; historically, a collection of former colonies of the British Empire)"
2641,تورات,tauraat,"Torah, (in Judaism) the law of God as revealed to Moses and recorded in the first five books of the Hebrew scriptures (the Pentateuch)"
2642,لاحق,laahiq,who or what touches or reaches unto
2643,کاروباری,kaarobaarii,businessman
2644,بحال,bahaal,"confirmed, established"
2645,تحسین,tahsiin,"applause, cheers, appreciation, acclamation, approbation, rendering attractive, praise, accolade"
2646,روٹی,roTii,"roti, bread, loaf"
2647,عادت,'aadat,"habit, treatment, disposition"
2648,عقیدہ,'aqiida,"belief, faith, firm persuasion, creed, article of belief"
2649,مذکور,mazkuur,"remembered, recorded, related"
2651,مشیر,mushiir,counsellor
2652,مناسبت,munaasabat-e-taamma,"relation, connexion; proportion; analogy; comparison"
2654,پارلیمان,paarliimaanii,"parliamentary, democratic"
2655,ڈیڑھ,De.Dh,one and a half
2656,کرائی,kray'i,Paid
2657,یہودیوں,ihwdiwn,The Jews
2658,د,du,"of two minds, divided in thought or sentiment, puzzled, distracted, doubtful, wavering, vacillating, fluctuating, irresolute, abstracted, absent-minded, a waverer, doubt, suspense"
2659,داؤد,dāud,"Dawood, Dawud, David"
2660,دبئی,dubaī,Dubai (an emirate of the United Arab Emirates)
2661,صدارتی,sadaaratii,presidential
2662,غازی,Gaazii,"one who engages in a warring expedition, one who fights for belief or religion, one who fights against infidels"
2663,نزول,nuzuul,"revelation, alighting, decent, arrival, cataract in the eye"
2664,نصب,nasb,"erection, fixing, installation"
2665,بنت,bantaa,made
2666,شاہی,shaahii,"royal, imperial, regal, kingly"
2667,مانا,maanaa,"accept, agreed"
2668,مترادف,mutaraadif,"synonymous, successive, consecutive"
2669,منشا,manshaa,"object, motive, purport, drift, design, tenor, meaning"
2670,کاش,kaash,"would to heaven, would that, i wish to heaven, God grant! would that!"
2671,کالعدم,kal'adam,"as though non-existent, defunct, non-existent"
2672,انیس,aniis,"the one who loves, associate, companion, comrade"
2673,تفریق,tafriiq,"separation, division"
2674,سینے,siine,"breast, bosom, chest"
2675,عدالتوں,'adaalato.n,law courts
2676,فقہی,fiqhii,"relating to doctrine, doctrinal, juridical"
2677,نامعلوم,naa-maa'luum,unknown
2678,ندوی,nadvii,(of a scholar) educated in or belonging to Nadwatul Ulama Lucknow
2679,نعرہ,naa'ra,"watchword, war whoop"
2680,کفار,kuffaar,"unbelievers, infidels, pagans, idolaters"
2681,گم,gum,"lost, missing, distracted, wanting"
2682,بلدیہ,baldiya,municipal corporation or a similar body
2683,جمعیت,jam'iyyat,"organization, league, party, assemblage"
2684,حفیظ,hafiiz,"guardian, name of God"
2685,فقط,faqat,"merely, simply, only"
2686,مرحلہ,marhala,stage (of a journey or a task)
2687,مسند,masand,Musnad
2688,ملزمان,mulzimaana,Accused
2690,گول,guul,"a path, road"
2691,اجاگر,ujaagar,"Light, bright, shining"
2692,جلا,jalaa,"exile, leaving one's country"
2693,لشکر,lashkar,"an army, a host, a military force"
2694,ملحوظ,malhuuz,"contemplated, regarded, considered"
2695,ممانعت,mumaana'at,"prevention, prohibition, hinderance, restriction, obstruction, obstacle"
2696,نکالنے,pasiina nikaalne vaalaa,sudorific
2697,پاکستانیوں,pakstaniwn,Pakistanis
2698,بحالی,bahaalii,"restoration, reinstatement, the being in (its) former state,"
2699,جوڑا,jo.Daa,"Bun or knot of hair either on top or back of the head of a girl, twin"
2700,مظاہرین,muzaahiriin,protesters
2701,مومن,momin,"devout Muslim, true believer"
2702,مہارت,mahaarat,"excellence (in any art or profession), skill, expertness, proficiency"
2704,کہتی,khti,would say
2705,اخراجات,aKHraajaat,"expenses, disbursements, costs, charges"
2706,اسد,asad,lion
2707,حتیٰ,htia,even
2708,حکمرانی,hukmaraanii,"sway, dominion, sovereignty, government, administration"
2709,علیحدہ,'alaihida,"separate, apart (from), asunder, disconnected, distinct"
2710,عوامل,'avaamil,"factors, agents, causes"
2711,فیصلوں,fislwn,Decisions
2712,مجموعہ,majmuu'a,"anthology, collection of the works of an author or poet"
2713,مقیم,muqiim,"residing, stationed, fixed, inhabitant"
2714,موزوں,mauzuu.n,"proper, fit, apt, appropriate, suitable, symmetrical, weighed, metrical, well-balanced, well-adjusted"
2715,نہاد,nihaad,"family, race, nature, form, disposition, habit, mind, heart, quality"
2717,ایجنٹ,bima-agent,agent
2718,ایٹمی,ittmi,nuclear
2719,توجیہ,twjih,justification
2720,صارفین,saarifiin,"subscribers (of a commodity or thing etc.), consumers"
2722,لڑنے,la.Dne marne ko taiyaar,"always ready to fight to the death, desperate fighter"
2723,منگل,ma.ngal,"good luck, auspiciousness"
2724,گواہ,gavaah,"witness, eyewitness, a person who has personally seen something happen and so can give a first-hand description of it"
2726,آب,āb,water
2727,آفتاب,āftāb,Sun
2728,جلدی,jaldii,"quickness, speed, swiftness"
2729,سیاستدان,siyaasat-daan,"politician, diplomat, statesman"
2730,عطیہ,'atiya,"gift, present, endowment, grant, assignment"
2731,عنایت,'inaayat,"kindness, courtesy"
2732,کروانے,krwanye,to make
2733,بڑھنے,brrhnye,grow up
2734,بیمار,biimaar,"sick, ill, unwell, indisposed, ailing, patient"
2735,خرابی,KHaraabii,"badness, evil, ill, damage, mischief, bad"
2736,سینا,senaa,army
2737,نمائندہ,nmay'ndh,Representative
2738,احوال,ahvaal,"state, condition"
2739,اضافی,izaafii,"additional, extra"
2740,شوکت,shaukat,"pomp, grandeur, dignity, magnificence"
2741,عیسیٰ,'iisaa,"Jesus Christ, the man believed by his religious followers to be the son of God. Christianity is based on his life and teachings"
2742,مستحکم,mustahkam,"firm, stable, established, strong"
2743,منافی,munaafii,"contrary to, negating, prohibitive, against"
2744,نائب,nāib,"naib, viceroy, deputy"
2745,پل,pal,"a second, a short unit of time that is equal to a 60th of a minute, the sixtieth part of a minute, a moment"
2746,احناف,ahnaaf,followers of a pre-Islamic sect who renounced idolatry
2747,تمہیں,tumhii.n,"you, yourself"
2748,جمال,jamaal,"beauty, elegance, comeliness, prettiness, grace (of body or mind)"
2749,طاقتور,taaqatvar,"strong, stout, powerful"
2750,عامہ,'amh,Public
2751,قیمتی,qiimtii,"costly, precious, pricey, high-priced, expensive"
2752,کھلی,khulii,"opened, loose, revealed"
2753,ارد,urad,a kind of pulse
2754,اصلاً,aslaa,"accurate from origin or source, actually"
2755,افکار,afkaar,"worries, anxieties, notions"
2757,بنو,banuu,"descendants, offspring"
2758,خارجی,KHaariii,"External, outer"
2759,خاندانی,KHaandaanii,"of noble descent or good family, renowned family"
2760,دائیں,day'in,right
2761,سیاستدانوں,siastdanwn,Politicians
2762,علت,'illat,"pretence, pretext"
2763,نثر,nasr,(Literary) a prose composition; prose
2764,نکتے,nukte,"subtle point, minute things"
2765,وسطی,vastii,"centered, central, intermediate, average, middling, moderate, midmost"
2766,اقوال,aqvaal,"maxims, sayings, aphorisms"
2767,رجب,rjb,Rajab
2768,سرکار,sarkaar,"dignity, state, pomp"
2769,صف,saf,"line of things or persons, row, file, rank"
2770,عقیدت,'aqiidat,"faith, veneration, alliance, attachment"
2771,لمبی,lambii,"long stride (in a horse), a kind of bounding pace (in a horse)"
2772,لمحے,lamhe,"moments, minutes"
2773,مندرجہ,mundarija,"written, mentioned, printed, entered, inserted"
2774,آنسو,ā̃sū,tear
2775,لائی,lay'i,brought
2776,وارانہ,firqa-vaaraana,"sectarian, communal"
2777,بناتا,bnata,would make
2778,تیر,tere,yours
2779,حاکم,haakim,"one in power or authority, a ruler, governor, dominion, or government, chief, master"
2780,رہائش,rihāiś,"residence, stay"
2781,صالح,saaleh,"virtuous, pious, good, of good moral character, Righteous, chaste"
2782,طلبا,tulabaa,"seekers after knowledge,' students"
2783,طوفان,tuufaan,a false accusation
2784,نصیحت,nasiihat,"advice, counsel, precept"
2785,کھو,khw,get lost
2786,جہنم,jahannam,"Gehenna, the Valley of Hinnom, hell, hellfire"
2787,فائز,fay'z,Faiz
2788,قرارداد,qaraar-daad,"contract, agreement, treaty, engagement"
2789,لڑکیوں,laṛkiyō̃,oblique plural of لڑکی
2790,بائیں,bay'in,left
2791,بولے,bwlye,said
2792,رجم,rajm,"stoning, putting to death by stoning, stoning to death"
2793,شواہد,shavaahid,"proofs, evidence, verifications"
2794,صدارت,sadaarat,the office of prime minister or premiership
2795,ف,fa,"The twenty-sixth letter of the Urdu alphabet, written in the Arabic script; preceded by غ and followed by ق."
2796,مترجم,mutarjam,"interpreted, translated"
2797,پڑھی,pa.Dhii,read
2798,پھل,phal,"fruit, fleshy and sweet product of a tree,consequence, effect,children, offspring, gain, profit, return, reward, ploughshare, knife blade,the quotient, answer (of a problem)"
2799,اشرف,ashraf,"nobler, noblest, most eminent, a person of noble birth, nobleman, gentleman"
2800,اغوا,iGvaa,"abduction, kidnapping, hijacking"
2801,اندرونی,andaruunii,"internal, inner, intrinsic,"
2802,انٹرنیٹ,inṭarneṭ,the Internet
2803,آمادہ,amaddahmadh,willing
2804,بتاتے,btatye,Tell
2805,سیدہ,sayyada,"a woman of Sayyid family, honorific title of Hazrat Fatimah, the daughter of Prophet Muhammed"
2806,مدرسے,madrase,"school, particularly muslim schools where religious instructions are given"
2808,ڈار,Daar,"bough, branch, herd, flock"
2809,کرداروں,kirdārõ,oblique plural of کِرْدار (kirdār)
2810,کنارے,kinaare,"side, end"
2811,اراکین,araakiin,members
2812,اظہر,az.har,"more or most visible, most or very clear, most or very plain, very evident"
2813,بحیثیت,ba-haisiyat,"while acting as, as, in the capacity of, while acting as"
2814,بصیرت,basiirat,"sight, vision, insight, foresight, mental perception"
2815,جز,juz,"part, portion, component, ingredient"
2816,حادثہ,haadisa-e-faaji'a,very painful accident
2817,حجر,hajar,a stone
2818,حلقہ,halqa,a kind of firework
2819,حمید,hamiid,"praised, commended, approved"
2820,خوبی,KHuubii,beauty
2821,دشمنی,dushmanii,"enmity, hostility, malice, hatred"
2822,سکھ,sukh,"rest, ease, comfort, solace, relief, easy circumstances, happiness, pleasure"
2823,فراہمی,faraahamii,"gathering together, collecting, assembling, collection"
2824,قبضے,qabze,possessions
2825,محتاج,mohtaaj,"beggar, cripple, dependent, wanting, poor, needy, indigent, in want"
2826,کھلاڑیوں,khilaa.Diyo.n ke vazn kii taqsiim,Flyweight
2827,گز,gaz,a yard (measure)
2828,اصلی,aslii,"original, real, pure, actual, genuine, innate, natural, true, fundamental, intrinsic, essential"
2829,بدترین,badtariin,worst
2830,بھاگ,bhaag,"destiny, fortune, luck, kismet, fate, lot"
2831,جات,jat,Jats
2832,روزگار,rozgaar,"age, time, the world employment, livelihood, service, livelihood, fortune"
2833,فکشن,fictiojn-nigaar,"novelist, fictionist, creative writer"
2834,لانا,laanaa,"adduce, bring, buy, yield"
2835,مشاہدہ,mushaahada,"observation, witnessing, survey"
2836,چالیس,chaaliis,forty
2837,اونٹ,uu.nT,camel
2838,آہنگی,amaddahhngi,harmony
2839,تجارتی,tijaaratii,"mercantile, commercial, business"
2840,جذبے,jthbye,passions
2841,خصوصاً,KHusuusan,"especially, particularly"
2842,ریڈیو,radio-set,radio
2843,مقدر,muqaddar,"destined, predestined, ordained by God, preordained"
2844,چودہ,chaudah,fourteen
2845,یقیناً,yaqiinan,"certainly, surely, assuredly, truly, infallibly, indeed, verily"
2846,بابا,baabaa,"father, grandfather"
2847,برے,bure,"bad, rude, discourteous"
2848,رہو,raho,"stay, remain, stop, be, continue to live"
2849,سراج,siraaj,"lamp, candle, sun"
2850,طاقتوں,tāqatõ,oblique plural of طَاقَت (tāqat)
2851,فرعون,fir'aun,Pharaoh (king of Egypt)
2852,مختار,muKHtaar,"authorized, competent, legally empowered, independent invested with the power of attorney"
2853,مقابل,muqaabil,"face to face (with), in the presence (of), in comparison (with), fronting, confronting"
2854,ناموں,aa'maal-naamo.n,balance sheets of deeds
2855,پہنچایا,phntchaia,Delivered
2856,ہجری,hijrii,of Muslim era reckoned from the date of Prophet Muhammad's migration to Medina
2857,بقا,baqaa,"immortality, permanence"
2858,سختی,saKHtii,"hardness, stiffness, rigidity, firmness"
2859,فنی,fannii,"related to art, artistic"
2860,لمحہ,lamha,"a glance of the eye, twinkling an eye"
2861,نسخے,nskhye,Prescriptions
2862,کشمیری,kashmiirii,"Cashmere, of or related to Kashmir"
2863,اسم,ism,"name, denomination, appellation"
2864,امامت,imaamat,the act of leading congregational prayers
2865,ایوب,ayyuub,"Prophet Job, a Prophet of Allah, whose patience is proverbial"
2866,باہم,baaham,"mutually, conjointly, reciprocally, together, in unison, jointly"
2867,ترغیب,tarGiib,"incitement, stimulation, allurement, bait, persuasion, temptation, instigation, inducement"
2868,جوہری,jauharii,"relating to atoms, atomic"
2869,حلقے,halqē,oblique singular/ vocative singular/ direct plural of حَلْقَہ (halqē)
2870,دیکھو,dekho,"see! behold! lo! observe! look here!, look out! be on your guard!, look, see, watch, perhaps!, you will see!"
2871,سیٹ,siiTii,"whistle, a small instrument that makes the sound of whistle upon being blown into"
2872,شاطبی,shatbi,Shatabi
2873,طریق,tariiq,"manner, custom, observance,"
2874,عسکریت,'askariyyat,"martial, militancy, related to soldier, army rule"
2875,علماے,'lmaye,Scholars
2876,متکلم,mutakallim,"speaker, orator, expert in the art of conversation, scholastic philosopher, dialectician"
2877,ناقص,naaqis,"defective, deficient, imperfect, bad, unsound, lacking or wanting (in), useless, worthless"
2878,گرفت,giraft,"seizure, capture, clutch, grasp"
2879,ہفتہ,hafta,"week, weeks, saturday, a period of seven days, hebdomad"
2880,بڑھتے,brrhtye,growing
2881,خواہشات,KHvaahishaat,"desires, aspirations, wills, inclinations, wishes"
2882,صلح,sulh,"peace, truce, treaty, reconciliation, rapprochement"
2883,عصر,'asr,"time, age, era, epoch"
2884,مردہ,murda,"dead body, corpse"
2885,مشترک,mushtarak,"joint, common, coparcenary"
2886,گنجایش,gunjaayish,capacity
2888,آزمایش,amaddahzmaish,test
2889,بو,bau,the fee customarily paid to a landlord when a daughter of a cultivator in his village is married
2890,تھامے,thamye,hold on
2891,راج,raaj,"Kingship, Realm, Reign"
2892,ظہور,zuhuur,"appearing, arising, springing up"
2893,عقیدے,'qidye,Beliefs
2894,مزدور,mazduur,"a hired labourer, worker"
2895,ڈالے,ddalye,put
2896,ے,muu-e-shiisha,"hair in mirror, a mark like a hair or a line that appears on a piece of glass"
2897,تاویل,taaviil,"explanation, elucidation, interpretation (of dreams), justification, improper plea"
2898,تذکرے,tthkrye,Mentions
2899,روکا,ruukaar,affront
2900,سائیکل,sāīkil,bicycle
2901,قربان,qurbaan,"devoted, sacrificed"
2902,قواعد,qavaa'id,"grammatical rules, grammar"
2903,مروی,marvii,"alleged in the words or on the faith of another,, related, affirmed"
2905,پائیں,pay'in,find
2906,پڑھنا,pa.Dhnaa,decipher
2907,چادر,chaadar,"chador, a coverlet, a veil"
2908,المیہ,alamiya,"tragedy, tragic event, painful tragedy, tragic accident"
2909,انحصار,inhisaar,"reliance, dependence"
2910,اٹھانا,uThaanaa,awaken
2911,تدریس,tadriis,"teaching, instruction, education"
2912,ریحام,riham,Rahm
2913,صنف,sinf,"genre, sex, gender, species"
2914,مہمان,mehmaan-e-aa'laa,grand guest
2918,تنہائی,tanhāī,"loneliness, solitude, isolation"
2919,توسیع,tausii',"extension, expansion, prolongation"
2920,خاک,KHaak,away! out!
2921,روایتوں,rwaitwn,Traditions
2922,سیر,sair,"moving about, strolling, stroll, ramble, walk, taking the air, airing"
2923,مستند,mustanad,"authoritative, authenticated, genuine, reliable, certified, supported by, incontrovertible"
2924,نمائندے,nmay'ndye,Representatives
2925,کوریا,kwria,Korea
2926,کھاتے,khaate,eating
2927,کینسر,kainsar,cancer
2928,آلہ,ālah,"tool, implement, instrument, device"
2929,تمھارا,tumhārā,alternative spelling of تمہارا (tumhārā)
2930,دروازہ,darvaaza,"a hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the framework of a cupboard, door, gate, entrance, doorway"
2931,مسافر,musaafir,"traveler, passenger, wayfarer, stranger"
2932,مسلط,musallat,"one who is appointed or set (over), conquered, subdued"
2933,اسرائیلی,asray'ili,Israeli
2934,اصلاحات,islaahaat,correction in errors and defects
2935,بلاشبہ,bilaa-shuba,"assuredly, certainly, without any doubt, undoubtedly"
2936,بھرے,bhare,fill
2937,جمعرات,jume'raat,thursday
2938,جہالت,jahaalat,"lack of knowledge, lack of education, illiteracy"
2939,خدشہ,KHadsha,"Hurt (of the heart), apprehension"
2940,خصوصیات,khswsiat,Features
2941,درکار,darkaar,"necessary, wanting, required, desired, wanted, in requisition"
2942,سعادت,sa'aadat,"felicity, prosperity, happiness, good fortune, auspiciousness"
2943,قسمت,qismat,"luck, fate, fortune, decree of God, destiny, an administrative division of a province comprising two or more districts and presided over by a commissioner, share, portion, lot"
2944,ناز,naaz,"coquetry, amorous playfulness, feigned disdain, dalliance, elegance, gracefulness"
2945,کھیلنے,khelne,"act, amuse, romp"
2946,کیساتھ,kisath,with
2947,اجزا,ajzaa,"elements, divisions, sections, constituents, ingredients, particles"
2948,تعصب,ta.assub,"prejudice, bigotry, bias, partisanship, partiality, discrimination"
2949,جل,jal,water
2950,رونما,ruunumaa,"appear, happen"
2951,سفیر,safiir,"ambassador, envoy, touring agent or representative"
2952,صحافتی,sahaafatii,journalistic
2953,ل,liye,"for, for the sake of"
2954,لازماً,laaziman,essentially
2955,ملیں,mlin,meet
2956,ممنوع,mamnuu',"forbidden, prohibited, banned, proscribed, taboo"
2957,مکتب,maktab,a circle of special thinkers or same intellectuals
2958,گائے,gāe,cow
2959,اتار,utaar,"descent, fall, decrease, landing, come down"
2960,آگئے,amaddahgy'ye,came
2961,تقلید,taqliid,"imitation, representation"
2962,تنقیدی,tanqiidii,"Judicial, critical"
2963,حراست,hiraasat,"arrest, custody, guardianship, guard"
2964,فتویٰ,fatvaa,"a notification of the decision of the (Muhammadan) law in or respecting a particular case, fatwa, legal ruling by an Islamic religious scholar"
2965,لائبریری,lāibrerī,library
2966,چھوٹو,chhoTuu,nickname
2967,ڈراما,ddrama,The drama
2968,کرائے,kray'ye,rent
2969,تلاوت,tilaavat,"recitation (esp. of the Qur'an), reading, recitation"
2970,جمعے,jum'e,"inflection of جُمْعَہ (jum'a, “Friday”):, direct plural"
2971,درپیش,dar-pesh,"in front (of), before"
2972,سرفراز,sarfaraaz,"having the head raised, eminent, exalted, distinguished, promoted"
2973,معاون,mu'aavin,"(Metaphorically) assistant, subordinate, helper"
2974,معذرت,maa'zarat,"excuse, apology, plea"
2975,نمونہ,namuuna,"sample, model, specimen, example, pattern, laughing-stock"
2976,ڈرامہ,ḍrāmā,drama
2977,البقرہ,albqrh,Al-Baqara
2978,الله,allaah-huu,"Sufi's slogan, saint's rallying cry, He is God"
2979,خوراک,KHuuraak,"daily food intake, provisions eatables, rations, dosage, meal, diet"
2980,ری,reKHta,"the mixed dialect,' the Hindustani or Urdu language (as used by men), old name of the Urdu language"
2981,سنتے,sntye,would listen
2982,فرمان,farmaan,"order, command, mandate, edict, decree, a royal letter, a royal patent, a grant, charter"
2983,نشاندہی,nishaan-dahii,"labeling, marking, identifying, pointing out, indication"
2984,پھیل,phail,spread
2985,گزرنے,gzrnye,passing through
2987,اثبات,isbaat,"dependable, honourable people"
2988,آفس,office,office
2989,بدقسمتی,bad-qismatii,bad luck
2990,جہادی,jihaadii,"related to Jihad, Jihadi"
2991,مثالوں,mthalwn,Examples
2992,معطل,mu'attal,"removed, dismissed"
2993,نصوص,nusuus,"clear proofs, fair evidence"
2994,بالی,baalii,small earring
2995,دنیوی,dunyavii,"mundane, worldly, belonging to this world"
2996,دئیے,dy'iye,gave
2997,دھمکی,dhamkii,"threatening, threat, menace, reprimand, snubbing"
2998,شاگرد,shaagird,"scholar, student, apprentice"
2999,شعیب,shu'aib,"Prophet Jethro or Hobab, the father-in-law of Moses"
3000,طریقوں,triqwn,methods
3001,طلباء,tlba',Students
3002,قبر,qabr,grave
3003,منافع,munaafe',"the surplus proceeds, or net profits, dividend (of an estate)"
3004,گرامی,giraamii,"respectable, revered, venerable, great, highly placed, famous"
3006,اگلی,aglii,next
3007,بتاتا,bataataa,"indicating, indicatory, representing"
3008,ساخت,saaKHt,"making, make, construction, structure, formation, synthesis"
3009,سبھی,sabhii,"all, all and sundry"
3010,مایوس,maayuus,"disappointed, despondent, without hope, hopeless, desperate"
3011,معاشروں,m'ashrwn,Societies
3012,پہاڑ,pahaa.D,"mountain, high hill, hill station, hill resort, difficult task"
3013,احباب,ahbaab,"friends, dear ones, lovers"
3014,جدا,judaa,"separate, separated, dissociated, apart, parted (from), detached, distinct, peculiar"
3015,جوہر,jauhar,"essence, matter, constituent, substance"
3016,دخل,daKHl,"access, approach"
3017,صوفی,suufii,"Sufi, Muslim mystic, abstemious person"
3018,مشاورت,mushaavarat,"mutual consultation, counsel, deliberation, conference"
3019,مشتاق,mushtaaq,"full of desire, desirous"
3020,مفسرین,mufassiriin,"describer, the scholars who interpret the hadith"
3021,مہینوں,mahiino.n,months
3022,چکر,chakkar,detour
3023,گار,gaar,a kind of white shining stone
3024,گھڑی,gha.Dii,"an interval of twenty-four minutes, time, hour, moment"
3025,جمیل,jamiil,"beautiful, pretty, lovely, comely, elegant"
3026,دیوان,diivaan,royal court
3027,صفائی,safāī,"cleanliness, hygiene"
3028,کروایا,krwaia,done
3029,کوڑے,kau.De,"cowries, money, wealth, price"
3030,گزرے,ga.e-guzre,"bygones, of no vale, good-for-nothing"
3031,احتمال,ehtimaal,apprehension
3032,جلباب,jilbaab,"women's loose outer garment or covering sheet, chador"
3033,زبردستی,zabardastii,forcibly
3034,قاصر,qaasir,"one who commits error, unable, unequal (to), inefficient, incapable"
3035,لیجیے,liijiye,"take, get, obtain"
3036,ندیم,nadiim,"pot-companion, boon-companion"
3038,گہرا,gahraa,"deep, profound"
3039,انتظامات,intizaamaat,arrangements
3040,بسر,basar,"living, livelihood, course of life"
3041,دھرنا,dharnaa,"put, keep"
3042,محلے,mahalle,streets
3043,نسلوں,nslwn,Generations
3044,کیلیے,kiliye,for
3045,اعتراضات,a'tradat,Protests
3046,افریقہ,africa,Africa
3047,آغا,āġā,Mr.
3048,رھے,rhye,stay
3049,ستم,sitam,"cruelty, tyranny, ill-treatment, injustice, oppression, outrage, violence, injustice"
3050,سینٹر,service-center,service center
3051,فرار,faraar,"running away, escape, flight, fleeing, absconding"
3052,منصوبوں,mnswbwn,Projects
3053,نص,nas,"act of showing, manifesting, demonstrating and exhibiting, setting forth"
3054,کروڑوں,karo.Do.n,millions
3055,افعال,af'al,Functions
3056,انڈین,anddin,Indian
3057,تاج,taaj,"a crown, diadem, tiara"
3058,تعینات,ta'iinaat,"appointments, appointment, appointed, posted, service, duty"
3059,دکھانے,dkhanye,to show
3060,ذبح,zab.h,"slaughter, sacrifice"
3061,رام,raam,domestic
3062,سوات,svaat,Swat
3064,فلسفے,flsfye,Philosophies
3065,مساوات,musaavaat,"being equal (to), equality, evennes, equation, neutrality"
3066,مظفر,muzaffar,"victorious, triumphant, successful"
3067,نیم,niim,half
3068,ہجوم,hajuum,"(Lexical) rushing (upon), attacking, crowding"
3070,افتخار,iftiKHaar,"honour, glory, repute, distinction, elegance"
